,Data Series,Concentration,Time,Intensity
0,pH_7.9,47uM_3,0.0,132.7
1,pH_7.9,47uM_3,1.0,132.6
2,pH_7.9,47uM_3,2.0,132.635
3,pH_7.9,47uM_3,3.0,132.359
4,pH_7.9,47uM_3,4.0,132.781
5,pH_7.9,47uM_3,5.0,132.709
6,pH_7.9,47uM_3,6.0,132.898
7,pH_7.9,47uM_3,7.0,132.724
8,pH_7.9,47uM_3,8.0,132.988
9,pH_7.9,47uM_3,9.0,133.03
10,pH_7.9,47uM_3,10.0,133.079
11,pH_7.9,47uM_3,11.0,132.983
12,pH_7.9,47uM_3,12.0,133.368
13,pH_7.9,47uM_3,13.0,133.016
14,pH_7.9,47uM_3,14.0,133.239
15,pH_7.9,47uM_3,15.0,133.407
16,pH_7.9,47uM_3,16.0,133.286
17,pH_7.9,47uM_3,17.0,133.393
18,pH_7.9,47uM_3,18.0,133.605
19,pH_7.9,47uM_3,19.0,133.6
20,pH_7.9,47uM_3,20.0,133.548
21,pH_7.9,47uM_3,21.0,133.702
22,pH_7.9,47uM_3,22.0,133.62
23,pH_7.9,47uM_3,23.0,133.621
24,pH_7.9,47uM_3,24.0,133.919
25,pH_7.9,47uM_3,25.0,133.788
26,pH_7.9,47uM_3,26.0,134.075
27,pH_7.9,47uM_3,27.0,133.831
28,pH_7.9,47uM_3,28.0,134.035
29,pH_7.9,47uM_3,29.0,134.13
30,pH_7.9,47uM_3,30.0,134.116
31,pH_7.9,"1,5uM_2",0.0,3.3223
32,pH_7.9,"1,5uM_2",1.0,3.287
33,pH_7.9,"1,5uM_2",2.0,3.2704
34,pH_7.9,"1,5uM_2",3.0,3.2941
35,pH_7.9,"1,5uM_2",4.0,3.294
36,pH_7.9,"1,5uM_2",5.0,3.2772
37,pH_7.9,"1,5uM_2",6.0,3.2865
38,pH_7.9,"1,5uM_2",7.0,3.2889
39,pH_7.9,"1,5uM_2",8.0,3.2691
40,pH_7.9,"1,5uM_2",9.0,3.2811
41,pH_7.9,"1,5uM_2",10.0,3.3285
42,pH_7.9,"1,5uM_2",11.0,3.3049
43,pH_7.9,"1,5uM_2",12.0,3.3119
44,pH_7.9,"1,5uM_2",13.0,3.3508
45,pH_7.9,"1,5uM_2",14.0,3.3511
46,pH_7.9,"1,5uM_2",15.0,3.2872
47,pH_7.9,"1,5uM_2",16.0,3.3716
48,pH_7.9,"1,5uM_2",17.0,3.3351
49,pH_7.9,"1,5uM_2",18.0,3.3748
50,pH_7.9,"1,5uM_2",19.0,3.3861
51,pH_7.9,"1,5uM_2",20.0,3.3948
52,pH_7.9,"1,5uM_2",21.0,3.3768
53,pH_7.9,"1,5uM_2",22.0,3.3929
