,Data Series,Concentration,Time,Intensity
1024,calibration,100nM,10,49.9966
1016,calibration,100nM,2,50.0083
1017,calibration,100nM,3,50.1367
1018,calibration,100nM,4,49.799
1019,calibration,100nM,5,49.9295
1020,calibration,100nM,6,49.9503
1021,calibration,100nM,7,49.7839
1022,calibration,100nM,8,50.0469
1023,calibration,100nM,9,49.891
1015,calibration,100nM,1,49.9558
1055,calibration,100nM,8,50.0999
1047,calibration,100nM,0,49.9218
1048,calibration,100nM,1,49.8864
1049,calibration,100nM,2,49.9057
1050,calibration,100nM,3,49.9983
1051,calibration,100nM,4,49.9251
1052,calibration,100nM,5,49.9681
1053,calibration,100nM,6,50.1254
1054,calibration,100nM,7,50.0491
1057,calibration,100nM,10,50.0767
1014,calibration,100nM,0,49.909
1056,calibration,100nM,9,49.9751
1135,calibration,100pM,0,0.1946
1101,calibration,100pM,10,0.1588
1058,calibration,100pM,0,0.158
1059,calibration,100pM,1,0.1669
1060,calibration,100pM,2,0.1626
1061,calibration,100pM,3,0.1294
1062,calibration,100pM,4,0.1685
1063,calibration,100pM,5,0.1526
1064,calibration,100pM,6,0.1797
1065,calibration,100pM,7,0.146
1066,calibration,100pM,8,0.172
1091,calibration,100pM,0,0.1761
1068,calibration,100pM,10,0.1607
1100,calibration,100pM,9,0.1545
1099,calibration,100pM,8,0.159
1098,calibration,100pM,7,0.1346
1067,calibration,100pM,9,0.1414
1096,calibration,100pM,5,0.1578
1136,calibration,100pM,1,0.1445
1137,calibration,100pM,2,0.1565
1097,calibration,100pM,6,0.1744
1139,calibration,100pM,4,0.1693
1140,calibration,100pM,5,0.166
1141,calibration,100pM,6,0.1655
1142,calibration,100pM,7,0.1692
1138,calibration,100pM,3,0.1732
1144,calibration,100pM,9,0.1557
1145,calibration,100pM,10,0.157
1092,calibration,100pM,1,0.1609
1093,calibration,100pM,2,0.1622
1094,calibration,100pM,3,0.1666
1095,calibration,100pM,4,0.1558
1143,calibration,100pM,8,0.1635
1087,calibration,10nM,7,7.3366
1086,calibration,10nM,6,7.3634
1085,calibration,10nM,5,7.3894
1084,calibration,10nM,4,7.3019
1081,calibration,10nM,1,7.3349
1082,calibration,10nM,2,7.308
1080,calibration,10nM,0,7.3542
1090,calibration,10nM,10,7.3363
1083,calibration,10nM,3,7.3354
1107,calibration,10nM,5,7.3388
1089,calibration,10nM,9,7.3423
1103,calibration,10nM,1,7.3501
1112,calibration,10nM,10,7.3094
1025,calibration,10nM,0,7.3307
1026,calibration,10nM,1,7.3187
1027,calibration,10nM,2,7.3842
1028,calibration,10nM,3,7.3664
1102,calibration,10nM,0,7.3722
1030,calibration,10nM,5,7.3586
1031,calibration,10nM,6,7.308
1032,calibration,10nM,7,7.3472
1033,calibration,10nM,8,7.3678
1029,calibration,10nM,4,7.3795
1035,calibration,10nM,10,7.3519
1111,calibration,10nM,9,7.3109
1110,calibration,10nM,8,7.3185
1109,calibration,10nM,7,7.3806
1108,calibration,10nM,6,7.3484
1088,calibration,10nM,8,7.3431
1106,calibration,10nM,4,7.3663
1105,calibration,10nM,3,7.3499
1104,calibration,10nM,2,7.3427
1034,calibration,10nM,9,7.3276
1154,calibration,10pM,8,0.1234
1153,calibration,10pM,7,0.1331
1152,calibration,10pM,6,0.1346
1151,calibration,10pM,5,0.1285
1146,calibration,10pM,0,0.1325
1149,calibration,10pM,3,0.1196
1148,calibration,10pM,2,0.1336
1147,calibration,10pM,1,0.1415
1150,calibration,10pM,4,0.139
1074,calibration,10pM,5,0.1534
1156,calibration,10pM,10,0.1176
1078,calibration,10pM,9,0.1309
1013,calibration,10pM,10,0.1139
1012,calibration,10pM,9,0.1518
1011,calibration,10pM,8,0.1328
1010,calibration,10pM,7,0.1416
1008,calibration,10pM,5,0.1157
1007,calibration,10pM,4,0.147
1006,calibration,10pM,3,0.1247
1005,calibration,10pM,2,0.1197
1004,calibration,10pM,1,0.1244
1009,calibration,10pM,6,0.1308
1069,calibration,10pM,0,0.1652
1003,calibration,10pM,0,0.1364
1076,calibration,10pM,7,0.1406
1075,calibration,10pM,6,0.1425
1155,calibration,10pM,9,0.1346
1077,calibration,10pM,8,0.1341
1073,calibration,10pM,4,0.1375
1072,calibration,10pM,3,0.1336
1071,calibration,10pM,2,0.1354
1070,calibration,10pM,1,0.1453
1079,calibration,10pM,10,0.1272
1134,calibration,1nM,10,0.6373
1133,calibration,1nM,9,0.6337
1132,calibration,1nM,8,0.6317
1131,calibration,1nM,7,0.6296
1130,calibration,1nM,6,0.6398
1129,calibration,1nM,5,0.6371
1128,calibration,1nM,4,0.6097
1127,calibration,1nM,3,0.6139
1126,calibration,1nM,2,0.6305
1125,calibration,1nM,1,0.6311
1124,calibration,1nM,0,0.6264
1123,calibration,1nM,10,0.6049
1121,calibration,1nM,8,0.6174
1046,calibration,1nM,10,0.6358
1045,calibration,1nM,9,0.6409
1044,calibration,1nM,8,0.6535
1043,calibration,1nM,7,0.6243
1122,calibration,1nM,9,0.6384
1041,calibration,1nM,5,0.649
1040,calibration,1nM,4,0.6483
1039,calibration,1nM,3,0.6728
1038,calibration,1nM,2,0.6595
1042,calibration,1nM,6,0.6129
1036,calibration,1nM,0,0.6313
1113,calibration,1nM,0,0.6149
1114,calibration,1nM,1,0.6294
1115,calibration,1nM,2,0.6412
1116,calibration,1nM,3,0.6348
1117,calibration,1nM,4,0.6427
1118,calibration,1nM,5,0.624
1119,calibration,1nM,6,0.6299
1120,calibration,1nM,7,0.6171
1037,calibration,1nM,1,0.6334
993,calibration,50nM,1,49.9778
994,calibration,50nM,2,49.9396
995,calibration,50nM,3,49.9342
996,calibration,50nM,4,49.9403
1001,calibration,50nM,9,49.9366
998,calibration,50nM,6,49.9724
999,calibration,50nM,7,49.9
1000,calibration,50nM,8,49.9283
1002,calibration,50nM,10,49.9109
997,calibration,50nM,5,50.0225
992,calibration,50nM,0,50.0678
