Time,Temperature,conc1,conc2,conc3,conc4,conc5
0,27,6843625,9422749,13385495,19180988,37255232
9,27,7100186,9772578,13895850,20026594,38965240
14,27,7239286,9937831,14200578,20387278,39748476
19,27,7346834,10118424,14449228,20807950,40481744
24,27,7453758,10292370,14768383,21125310,41174272
29,27,7562490,10488796,15077601,21722784,42031568
34,27,7666580,10736063,15301284,22030342,42893636
39,27,7774001,10886759,15598153,22421660,43865412
44,27,7914632,11052109,15914672,22894358,44549412
49,27,7999669,11241987,16197688,23341166,45103652
53,27,8108812,11454865,16470015,23718146,46153696
58,27,8216190,11596719,16729059,24157532,46841452
63,27,8314790,11786156,17067108,24653840,47674320
