Time,Temperature,1.5uM,7.5uM,15uM,50uM,100uM,150uM
00,26.5,7687630,13227429,15897666,24042440,28944830,42416616
09,26.5,7852329,13678737,16479554,25153178,30287992,44240792
14,26.5,7867601,13858960,16844934,25723734,30946786,44992152
19,26.5,7879368,14191305,17067150,26234824,31497808,45877084
24,26.5,7931477,14384065,17335198,26746402,32204010,46741504
29,26.5,8029240,14560754,17632156,27210844,32648152,47543308
33,26.5,8084017,14727608,17874320,27667160,33414408,48498616
38,26.5,8054386,14853335,18047568,28204900,34099388,49254780
43,26.5,8169812,15111421,18339672,28728478,34691484,50252952
48,26,8194134,15214138,18591172,29345172,35375264,51006500
53,26,8279736,15498610,18785140,29760516,35947348,51943836
58,26,8298175,15543774,19078748,30251012,36589764,52865284
63,26,8336722,15790552,19275020,30769168,37194104,53847140
