Time,Temperature,conc1,conc2,conc3,conc4,conc5
0,27,63461252,17042752,5080082,1573894,1359012
9,27,63550016,16945946,4962956,1549984,1313660
14,27,63675464,16907186,4992324,1546530,1331909
19,26.5,63577204,16976870,5023101,1565613,1333190
24,26.5,63749540,16924230,4976252,1579452,1317161
29,26.5,63706724,17015644,5000120,1553935,1325242
34,26.5,63741972,16969436,5023170,1572271,1330213
39,26.5,63621584,17027590,5063913,1581881,1307478
44,26.5,63767256,17003900,5004926,1587320,1330442
49,26.5,63739072,17038172,5004412,1567241,1327468
53,26.5,63608624,17000780,5048459,1573352,1326905
58,26.5,63493556,16999540,5075564,1599792,1344889
63,26.5,63619804,17005254,5036358,1600539,1333235
