Time,Temperature,conc1,conc2,conc3,conc4,conc5
0,26.5,91271920,28889940,16134415,13491585,12759841
8,26.5,91024040,28863566,16064767,13359429,12644290
13,26.5,91104560,28706874,16099289,13418903,12731324
18,26.5,91120496,28874756,16105418,13455197,12720093
23,26.5,91314272,28735340,16047504,13434905,12732576
28,26.5,91485448,28921136,16023479,13463202,12759336
33,26.5,91578448,28846662,16020075,13412393,12765604
38,26.5,91538192,28801082,16100917,13418630,12742400
43,26.5,91622920,28929204,16124479,13466011,12829069
48,26.5,91567376,28819396,16072058,13461391,12737416
53,26.5,91515768,28777776,16141647,13471308,12781761
58,26.5,91694736,28977582,16067904,13528279,12789864
62,26.5,91603024,28952454,16204838,13510912,12799074
