LABEL,TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
Label,Track index,Track ID,Number of spots in track,Number of gaps,Number of split events,Number of merge events,Number of complex points,Longest gap,Track duration,Track start,Track stop,Track displacement,Track mean X,Track mean Y,Track mean Z,Track mean speed,Track max speed,Track min speed,Track median speed,Track std speed,Track mean quality,Total distance traveled,Max distance traveled,Confinement ratio,Mean straight line speed,Linearity of forward progression,Mean directional change rate
Label,Index,ID,N spots,N gaps,N splits,N merges,N complex,Lgst gap,Duration,Track start,Track stop,Track disp.,Track X,Track Y,Track Z,Mean sp.,Max speed,Min speed,Med. speed,Std speed,Mean Q,Total dist.,Max dist.,Cfn. ratio,Mn. v. line,Fwd. progr.,Mn. ? rate
,,,,,,,,,(sec),(sec),(sec),(pixel),(pixel),(pixel),(pixel),(pixel/sec),(pixel/sec),(pixel/sec),(pixel/sec),(pixel/sec),(quality),(pixel),(pixel),,(pixel/sec),,(rad/sec)
Track_0,0,0,2,0,0,0,0,0,0.05,0.05,0.1,0.06475546097266506,12.965186478020788,35.8475600133163,0.0,1.2951092194533012,1.2951092194533012,1.2951092194533012,1.2951092194533012,NaN,115.71818923950195,0.06475546097266506,0.06475546097266506,1.0,1.2951092194533012,1.0,NaN
Track_1,1,1,3,0,0,0,0,0,0.1,0.0,0.1,0.008005807557021714,52.43493277299708,11.182444184350045,0.0,1.56713156742429,1.628772616488956,1.5054905183596239,1.628772616488956,0.08717360758615612,130.87719217936197,0.156713156742429,0.0814386308244478,0.0510857398538651,0.08005807557021713,0.051085739853865095,61.52670089062661
Track_2,2,2,2,0,0,0,0,0,0.05,0.05,0.1,0.046115818461536034,67.03210752452121,50.523955188090994,0.0,0.9223163692307207,0.9223163692307207,0.9223163692307207,0.9223163692307207,NaN,130.40969848632812,0.046115818461536034,0.046115818461536034,1.0,0.9223163692307207,1.0,NaN
Track_3,3,3,3,0,0,0,0,0,0.1,0.0,0.1,0.07090923731668614,77.92278863642215,24.713407641092903,0.0,1.6731220588949829,2.3727753405243988,0.9734687772655668,2.3727753405243988,0.9894591598391628,125.93494669596355,0.1673122058894983,0.07090923731668614,0.42381389295362165,0.7090923731668614,0.42381389295362165,59.79397990481193
Track_4,4,4,2,0,0,0,0,0,0.05,0.05,0.1,0.10253554030572981,52.63429082885151,0.3888473240932457,0.0,2.050710806114596,2.050710806114596,2.050710806114596,2.050710806114596,NaN,147.86947631835938,0.10253554030572981,0.10253554030572981,1.0,2.050710806114596,1.0,NaN
Track_5,5,5,7,0,0,0,0,0,0.30000000000000004,0.0,0.30000000000000004,0.0,69.33188261007145,0.06959073771947621,0.0,4.418897684125036,7.652880357622142,3.2000005119999715,3.626002097020369,1.8011487121735767,127.92184012276786,1.3256693052375108,0.38264401788110713,0.0,0.0,0.0,36.15621535870976
Track_6,6,6,2,0,0,0,0,0,0.05,0.05,0.1,0.03465197973750715,59.7836824731729,42.88014868630246,0.0,0.693039594750143,0.693039594750143,0.693039594750143,0.693039594750143,NaN,111.68823623657227,0.03465197973750715,0.03465197973750715,1.0,0.693039594750143,1.0,NaN
Track_7,7,7,3,0,0,0,0,0,0.1,0.0,0.1,0.04204088801046305,47.67248234064221,1.0716322207848716,0.0,1.3078178775131755,1.4303059971993648,1.1853297578269864,1.4303059971993648,0.1732243600897877,142.729248046875,0.13078178775131755,0.05926648789134932,0.32145827590615356,0.4204088801046305,0.32145827590615356,50.27168550989156
