LABEL,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,DIRECTIONAL_CHANGE_RATE,SPEED,DISPLACEMENT,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,MANUAL_EDGE_COLOR
Label,Track ID,Source spot ID,Target spot ID,Edge cost,Directional change rate,Speed,Displacement,Edge time,Edge X,Edge Y,Edge Z,Manual edge color
Label,Track ID,Source ID,Target ID,Cost,? rate,Speed,Disp.,Edge T,Edge X,Edge Y,Edge Z,Edge color
,,,,(cost),(rad/sec),(pixel/sec),(pixel),(sec),(pixel),(pixel),(pixel),
ID1156985 ? ID1156946,0,1156985,1156946,0.0028398388919400478,1.0085995156143632,0.053290138787021823,0.053290138787021823,1.5,63.27411487152118,31.48021422060183,0.0,
ID1157025 ? ID1157139,0,1157025,1157139,0.004813052361514298,2.687779211060249,0.06937616565877865,0.06937616565877865,3.5,63.249701048983255,31.423527163414747,0.0,
ID1157139 ? ID1157072,0,1157139,1157072,0.051885383746716335,1.7629752310281803,0.22778363362348125,0.22778363362348125,4.5,63.26162593659281,31.535434525467487,0.0,
ID1156946 ? ID1157025,0,1156946,1157025,0.004641926905916633,1.1779216667516728,0.06813168797201954,0.06813168797201954,2.5,63.24549603270518,31.43842413369312,0.0,
ID1156904 ? ID1156985,0,1156904,1156985,7.513331569786555E-4,NaN,0.027410457073508563,0.027410457073508563,0.5,63.28330874469419,31.514892425049517,0.0,
ID1157006 ? ID1156966,1,1157006,1156966,0.007679612358751213,0.9021531150369448,0.08763339750774937,0.08763339750774937,1.5,75.85101755636055,52.61060926034381,0.0,
ID1156925 ? ID1157006,1,1156925,1157006,0.002499950942612497,NaN,0.04999950942371832,0.04999950942371832,0.5,75.7937165978764,52.635501514001604,0.0,
ID1156910 ? ID1156988,2,1156910,1156988,0.38667558124771395,NaN,0.6218324382401693,0.6218324382401693,0.5,30.184452937697856,33.67362481456772,0.0,
ID1157100 ? ID1157171,3,1157100,1157171,0.005356818540407461,0.18810153255508885,0.07319028993252767,0.07319028993252767,6.5,31.307127165271154,17.122533108245328,0.0,
ID1157171 ? ID1157280,3,1157171,1157280,0.40480689307614415,0.07156030143355756,0.6362443658502165,0.6362443658502165,7.5,31.010799841670128,17.317353306322634,0.0,
ID1156936 ? ID1157014,3,1156936,1157014,0.20134230951108104,NaN,0.4487118334867948,0.4487118334867948,2.5,31.28587115093915,17.31923083803853,0.0,
ID1157014 ? ID1157129,3,1157014,1157129,0.0023358086917084344,1.9850298440780207,0.048330204755498755,0.048330204755498755,3.5,31.37033338459281,17.120682577816588,0.0,
